Title-module__anchor--GmXUE href	Title-module__anchor--GmXUE	ReposListItem-module__Label_2--Z6b0K	Text__StyledText-sc-1klmep6-0	ReposListItem-module__Text_4--mkG7R	ReposListItem-module__Link_1--v5NDF	ReposListItem-module__Link_1--v5NDF href	ReposListItem-module__Link_1--v5NDF 2	ReposListItem-module__Link_1--v5NDF href 2	ReposListItem-module__Box_6--KXqca 3	ReposListItem-module__Link_1--v5NDF 3	ReposListItem-module__Link_1--v5NDF href 3
https://github.com/JuliaComputing/heptagon	heptagon	Public	Heptagon is a synchronous dataflow language whose syntax and semantics is inspired from Lustre, with a syntax allowing the expression of control structures (e.g., switch or mode automata).	OCaml	1	https://github.com/JuliaComputing/heptagon/forks	0	https://github.com/JuliaComputing/heptagon/stargazers	•	0	https://github.com/JuliaComputing/heptagon/pulls
https://github.com/JuliaComputing/osv.dev	osv.dev	Public	Open source vulnerability DB and triage service.	Python	262	https://github.com/JuliaComputing/osv.dev/forks	0	https://github.com/JuliaComputing/osv.dev/stargazers	•	0	https://github.com/JuliaComputing/osv.dev/pulls
https://github.com/JuliaComputing/osv-schema	osv-schema	Public	Open Source Vulnerability schema.	Go	108	https://github.com/JuliaComputing/osv-schema/forks	0	https://github.com/JuliaComputing/osv-schema/stargazers	•	0	https://github.com/JuliaComputing/osv-schema/pulls
https://github.com/JuliaComputing/CthulhuJETWorkshop	CthulhuJETWorkshop	Public	A demo repository of introductory examples and materials for JET / Cthulhu		0	https://github.com/JuliaComputing/CthulhuJETWorkshop/forks	1	https://github.com/JuliaComputing/CthulhuJETWorkshop/stargazers		0	https://github.com/JuliaComputing/CthulhuJETWorkshop/pulls
https://github.com/JuliaComputing/Logging2.jl	Logging2.jl	Public	A logging library to stage new ideas for stdlib Logging	Julia	2	https://github.com/JuliaComputing/Logging2.jl/forks	0	https://github.com/JuliaComputing/Logging2.jl/stargazers	•	0	https://github.com/JuliaComputing/Logging2.jl/pulls
https://github.com/JuliaComputing/Yggdrasil	Yggdrasil	Public	Collection of builder repositories for BinaryBuilder.jl	Fortran	651	https://github.com/JuliaComputing/Yggdrasil/forks	0	https://github.com/JuliaComputing/Yggdrasil/stargazers	•	0	https://github.com/JuliaComputing/Yggdrasil/pulls
https://github.com/JuliaComputing/Dex.jl	Dex.jl	Public	Launch and manage Dex from Julia	Julia	3	https://github.com/JuliaComputing/Dex.jl/forks	0	https://github.com/JuliaComputing/Dex.jl/stargazers	•	0	https://github.com/JuliaComputing/Dex.jl/pulls
https://github.com/JuliaComputing/litex_m2sdr_julia	litex_m2sdr_julia	Public	Customization of LiteX M2SDR design with VITA49.2 support.	C	0	https://github.com/JuliaComputing/litex_m2sdr_julia/forks	0	https://github.com/JuliaComputing/litex_m2sdr_julia/stargazers	•	0	https://github.com/JuliaComputing/litex_m2sdr_julia/pulls
https://github.com/JuliaComputing/lua-resty-aws-email	lua-resty-aws-email	Public	Send email using Amazon Simple Email Service (SES) API.	Lua	4	https://github.com/JuliaComputing/lua-resty-aws-email/forks	0	https://github.com/JuliaComputing/lua-resty-aws-email/stargazers	•	0	https://github.com/JuliaComputing/lua-resty-aws-email/pulls
https://github.com/JuliaComputing/Pinecone.jl	Pinecone.jl	Public		Julia	3	https://github.com/JuliaComputing/Pinecone.jl/forks	0	https://github.com/JuliaComputing/Pinecone.jl/stargazers	•	0	https://github.com/JuliaComputing/Pinecone.jl/pulls
https://github.com/JuliaComputing/Registrator.jl	Registrator.jl	Public	Julia package registration bot	Julia	51	https://github.com/JuliaComputing/Registrator.jl/forks	1	https://github.com/JuliaComputing/Registrator.jl/stargazers	•	2	https://github.com/JuliaComputing/Registrator.jl/pulls
